iter	Passed	Remaining
0	7	3779
1	24	6183
2	26	4443
3	28	3529
4	30	3062
5	33	2784
6	35	2499
7	36	2275
8	38	2116
9	40	1979
10	41	1858
11	43	1751
12	44	1665
13	45	1582
14	46	1515
15	48	1459
16	49	1416
17	52	1394
18	53	1349
19	54	1305
20	55	1263
21	56	1229
22	57	1199
23	59	1176
24	60	1149
25	61	1125
26	63	1105
27	64	1083
28	66	1075
29	68	1068
30	69	1048
31	70	1029
32	71	1015
33	72	999
34	74	984
35	75	972
36	76	961
37	77	945
38	78	932
39	79	919
40	81	907
41	82	894
42	83	884
43	84	873
44	85	864
45	86	854
46	88	850
47	89	840
48	90	831
49	92	829
50	93	820
51	94	815
52	95	807
53	96	799
54	97	792
55	99	785
56	100	778
57	101	771
58	102	765
59	103	761
60	105	757
61	106	752
62	107	746
63	108	741
64	110	736
65	111	730
66	112	725
67	113	720
68	114	714
69	115	709
70	116	704
71	117	698
72	118	693
73	119	689
74	120	684
75	121	679
76	122	675
77	124	671
78	125	666
79	126	662
80	127	658
81	128	655
82	129	651
83	131	649
84	132	645
85	133	641
86	134	637
87	135	634
88	136	629
89	137	625
90	138	621
91	139	619
92	141	617
93	142	616
94	144	613
95	145	610
96	146	606
97	147	603
98	148	599
99	149	596
100	150	593
101	151	590
102	152	587
103	153	585
104	154	582
105	155	579
106	157	577
107	158	574
108	159	572
109	160	569
110	161	566
111	162	563
112	163	560
113	164	558
114	165	555
115	167	553
116	168	551
117	169	548
118	170	546
119	171	543
120	173	542
121	174	539
122	175	537
123	176	534
124	177	532
125	178	530
126	179	528
127	180	525
128	182	524
129	183	521
130	185	521
131	186	519
132	188	519
133	189	518
134	190	516
135	191	513
136	193	513
137	194	510
138	195	508
139	196	506
140	198	504
141	199	501
142	200	500
143	202	500
144	204	499
145	205	497
146	206	495
147	207	493
148	208	491
149	209	489
150	210	487
151	212	485
152	213	483
153	214	481
154	215	478
155	216	476
156	217	475
157	218	472
158	219	470
159	220	469
160	222	468
161	223	466
162	225	465
163	225	462
164	227	461
165	228	460
166	229	458
167	230	456
168	232	454
169	233	453
170	234	451
171	235	448
172	236	447
173	237	445
174	238	443
175	240	442
176	241	440
177	242	438
178	243	436
179	244	434
180	245	433
181	246	431
182	247	429
183	248	427
184	250	425
185	251	423
186	252	422
187	253	420
188	254	419
189	255	417
190	257	415
191	258	413
192	259	412
193	260	410
194	261	409
195	263	407
196	264	406
197	265	405
198	266	403
199	267	401
200	268	400
201	270	398
202	271	396
203	272	394
204	273	393
205	274	391
206	275	390
207	276	388
208	278	387
209	279	385
210	280	384
211	281	382
212	282	380
213	283	379
214	284	377
215	286	376
216	287	374
217	288	372
218	289	371
219	290	369
220	291	368
221	292	366
222	293	364
223	294	363
224	295	361
225	297	360
226	298	358
227	299	357
228	300	355
229	302	354
230	303	353
231	304	351
232	305	349
233	306	348
234	307	346
235	308	344
236	309	343
237	310	341
238	311	340
239	312	338
240	313	336
241	314	335
242	315	333
243	316	332
244	317	330
245	318	328
246	319	327
247	320	325
248	321	324
249	323	323
250	324	322
251	325	320
252	327	319
253	328	317
254	329	316
255	330	314
256	331	313
257	332	312
258	334	310
259	335	309
260	336	308
261	337	306
262	338	305
263	339	303
264	340	302
265	341	300
266	342	299
267	343	297
268	344	296
269	346	294
270	347	293
271	347	291
272	348	290
273	349	288
274	350	287
275	351	285
276	353	284
277	353	282
278	355	281
279	355	279
280	357	278
281	358	276
282	359	275
283	360	273
284	361	272
285	362	271
286	363	269
287	364	268
288	365	267
289	366	265
290	368	264
291	368	262
292	370	261
293	371	260
294	372	258
295	373	257
296	374	255
297	375	254
298	376	253
299	377	251
300	378	250
301	379	248
302	380	247
303	381	245
304	382	244
305	383	243
306	384	241
307	385	240
308	386	239
309	388	237
310	389	236
311	390	235
312	391	233
313	392	232
314	394	231
315	395	230
316	396	228
317	397	227
318	398	226
319	399	224
320	400	223
321	401	221
322	402	220
323	403	219
324	404	218
325	406	216
326	407	215
327	408	213
328	409	212
329	410	211
330	411	209
331	412	208
332	413	207
333	414	205
334	416	204
335	417	203
336	418	202
337	419	200
338	420	199
339	421	198
340	422	196
341	423	195
342	424	194
343	425	193
344	426	191
345	427	190
346	428	189
347	429	187
348	430	186
349	431	185
350	432	183
351	433	182
352	434	181
353	435	179
354	436	178
355	437	177
356	438	175
357	439	174
358	440	173
359	441	171
360	442	170
361	443	169
362	444	167
363	445	166
364	446	165
365	447	163
366	448	162
367	449	161
368	450	160
369	451	158
370	453	157
371	454	156
372	455	155
373	456	153
374	457	152
375	458	151
376	459	150
377	461	148
378	462	147
379	463	146
380	464	145
381	465	143
382	466	142
383	467	141
384	468	139
385	469	138
386	470	137
387	471	136
388	472	134
389	473	133
390	474	132
391	475	130
392	476	129
393	477	128
394	478	127
395	479	125
396	480	124
397	481	123
398	482	122
399	483	120
400	484	119
401	485	118
402	486	116
403	487	115
404	488	114
405	489	113
406	490	112
407	491	110
408	492	109
409	493	108
410	494	107
411	495	105
412	496	104
413	497	103
414	498	102
415	499	100
416	500	99
417	501	98
418	502	97
419	503	95
420	504	94
421	505	93
422	506	92
423	507	90
424	508	89
425	509	88
426	510	87
427	511	86
428	512	84
429	514	83
430	515	82
431	516	81
432	517	80
433	518	78
434	519	77
435	520	76
436	521	75
437	522	74
438	523	72
439	524	71
440	525	70
441	526	69
442	527	67
443	528	66
444	529	65
445	530	64
446	531	63
447	532	61
448	534	60
449	535	59
450	535	58
451	536	57
452	538	55
453	538	54
454	539	53
455	540	52
456	541	50
457	542	49
458	543	48
459	544	47
460	546	46
461	547	45
462	548	43
463	549	42
464	550	41
465	551	40
466	552	39
467	553	37
468	555	36
469	556	35
470	557	34
471	558	33
472	559	31
473	560	30
474	561	29
475	562	28
476	563	27
477	564	25
478	564	24
479	566	23
480	567	22
481	568	21
482	569	20
483	570	18
484	571	17
485	571	16
486	572	15
487	573	14
488	574	12
489	575	11
490	576	10
491	578	9
492	579	8
493	580	7
494	581	5
495	582	4
496	583	3
497	584	2
498	585	1
499	586	0
